Frequency/Features,Design_1,Design_2,Design_3,Design_4,Design_5,Design_6,Design_7,Design_8,Design_9,Design_10,Design_11,Design_12,Design_13,Design_14,Design_15,Design_16,Design_17,Design_18,Design_19,Design_20,Design_21,Design_22,Design_23,Design_24,Design_25,Design_26,Design_27,Design_28,Design_29,Design_30,Design_31,Design_32,Design_33,Design_34,Design_35,Design_36,Design_37,Design_38,Design_39,Design_40,Design_41,Design_42,Design_43,Design_44,Design_45,Design_46,Design_47,Design_48,Design_49,Design_50
0.30000001,0.97583101,0.97882518,0.99853807,0.99999999,0.98547636,0.98095549,0.9831663,0.97583101,0.97882512,0.99854373,1.00000003,0.98547633,0.98096421,0.98316536,0.97583122,0.97880901,0.99853843,1.00000003,0.98547099,0.98095516,0.9831663,0.99999992,0.98746351,0.97812551,1.00000002,0.9845255,1,0.98518309,0.99999992,0.98746351,0.97812534,0.99999999,0.98452657,0.99999992,0.98518309,0.99999989,0.98746351,0.97812551,0.99999999,0.98452776,0.99999998,0.98519373,0.9869764,0.98829523,1,0.98297928,1,0.99812502,0.99378191,0.98696766
0.30504203,0.99066204,0.97602123,0.97945998,0.99567364,1.00000002,0.98492729,1,0.99066204,0.97602082,0.97946478,0.99567346,1.00000002,0.98493332,1.00000001,0.99066272,0.97601404,0.97946028,0.99567346,0.99999999,0.98493067,1,0.99705509,0.99999992,0.98513364,0.98176078,0.99999999,0.98223419,0.99398542,0.99705509,0.99999992,0.98513361,0.98176396,0.99999999,0.98223513,0.99398542,0.99704706,0.99999992,0.98513364,0.98176157,0.99999997,0.98223059,0.99397991,0.98645236,0.97630513,0.99810924,0.99839361,0.98191431,0.98390115,0.98660351,0.98644621
0.31008404,0.9999999,0.99411981,0.97919809,0.97957733,0.99908528,1.00000001,0.98067792,0.9999999,0.99411879,0.9792004,0.97957568,0.99908524,1.00000001,0.98067965,0.99999994,0.99412143,0.97919404,0.97957568,0.99908297,1.00000002,0.98067792,0.97873013,0.98578568,1.00000001,0.98280676,0.99497274,0.99145161,0.99964904,0.97873013,0.98578568,1.00000001,0.98281913,0.9949812,0.99145527,0.99964904,0.97871722,0.98578568,1.00000001,0.98280679,0.99497615,0.99145338,0.99964915,0.99955149,0.99249875,0.98462241,0.99999999,0.97904745,0.99729403,1,0.99954316
0.31512606,0.9874469,0.99999994,0.99600075,0.97942867,0.98467756,0.9850263,0.9763541,0.9874469,0.9999999,0.99600094,0.9794274,0.98467765,0.9850253,0.97635515,0.98744613,0.99999993,0.99599588,0.9794274,0.98466852,0.98502099,0.9763541,0.98015603,0.97281764,0.99463478,0.99885521,0.98071338,0.99863444,0.98424027,0.98015603,0.97281764,0.99463486,0.99886911,0.98072225,0.99863705,0.98424027,0.98014632,0.97281764,0.99463478,0.99885438,0.98071941,0.99863389,0.9842505,0.99717876,0.99999993,0.98666839,0.98526754,0.99514544,0.99720749,0.98871614,0.99717178
0.32016808,0.97520055,0.98400518,0.99999999,0.9936897,0.98471915,0.97975504,0.99614494,0.97520055,0.98400714,0.99999999,0.99368925,0.98471915,0.97975338,0.99614504,0.97520023,0.98400045,1,0.99368925,0.98470927,0.97975625,0.99614494,0.99599679,0.98477973,0.97960015,0.99828856,0.98661218,0.98244797,0.9938251,0.99599679,0.98477973,0.97960015,0.99829575,0.98661222,0.98245144,0.9938251,0.99599042,0.98477973,0.97960015,0.99828772,0.98661715,0.98244519,0.9938182,0.9843199,0.98295666,0.99835042,0.98344097,0.99501093,0.98391343,0.98923233,0.98431559
0.32521009,0.98388488,0.97394202,0.98483989,0.99625371,0.99759089,0.99637591,0.98596118,0.98388488,0.97394443,0.98484157,0.99625232,0.99759085,0.99637748,0.98596156,0.98388606,0.97393802,0.98484433,0.99625232,0.9975846,0.99638368,0.98596118,0.9938234,0.99635139,0.98225306,0.98274557,0.99817097,0.98928597,0.9972063,0.9938234,0.99635139,0.98225306,0.98274875,0.99816946,0.98929008,0.9972063,0.99381599,0.99635139,0.98225306,0.98274502,0.99817519,0.98928773,0.997202,0.98772726,0.97739414,0.99485759,0.9963644,0.97962091,0.99518942,0.99808937,0.98772249
0.33025211,0.9962456,0.98588651,0.97607173,0.98266817,0.99670822,0.98862882,0.97216388,0.9962456,0.98588778,0.97607477,0.98266543,0.99670818,0.9886356,0.97216626,0.99624709,0.98588487,0.97607483,0.98266543,0.99670158,0.98863185,0.97216388,0.97783662,0.98495802,0.99570346,0.98142771,0.9903155,0.9971119,0.98289416,0.97783662,0.98495802,0.99570346,0.98143372,0.99032191,0.99711555,0.98289416,0.97782821,0.98495802,0.99570346,0.98142698,0.99032164,0.99711104,0.98289948,0.99843836,0.99282062,0.98320815,0.99694724,0.98091372,0.99612137,0.98494655,0.99843415
0.33529413,0.98953311,0.99698409,0.98715547,0.97620718,0.9833013,0.97619853,0.98937871,0.98953311,0.99698474,0.98715802,0.97620478,0.98330137,0.97620302,0.98938334,0.98953348,0.99698026,0.98715432,0.97620478,0.98329137,0.97619635,0.98937871,0.97866568,0.97246368,0.9938685,0.99497132,0.97955208,0.98203377,0.99316386,0.97866568,0.97246368,0.9938685,0.99497961,0.97956201,0.98204008,0.99316386,0.97865891,0.97246368,0.9938685,0.99497088,0.9795596,0.98203071,0.99315798,0.99242117,0.99412807,0.9864362,0.98405665,0.99408979,0.98343586,0.99176411,0.99242082
0.34033614,0.97490082,0.98729844,0.99734202,0.98677774,0.98294589,0.9905343,0.98938682,0.97490082,0.98729959,0.99734349,0.98677656,0.98294602,0.99053495,0.98939102,0.9749004,0.98729093,0.99734,0.98677656,0.98293624,0.99053353,0.98938682,0.99300631,0.98168703,0.98001224,0.99617714,0.98747725,0.98682118,0.99447404,0.99300631,0.98168703,0.98001224,0.99618311,0.98748294,0.98682868,0.99447404,0.99300068,0.98168703,0.98001224,0.99617749,0.98748353,0.98682313,0.99447235,0.98174448,0.97822928,0.99628806,0.98287924,0.99036076,0.99302751,0.99419828,0.98174536
0.34537816,0.97705642,0.97304922,0.98864064,0.99421696,0.99475854,0.99073576,0.97013723,0.97705642,0.97305129,0.98864258,0.994216,0.99475855,0.9907396,0.9701385,0.97705658,0.9730434,0.98864109,0.994216,0.99475224,0.99073606,0.97013723,0.99160545,0.99267137,0.97912987,0.98249503,0.9954505,0.99527552,0.98078473,0.99160545,0.99267137,0.97912995,0.98249943,0.9954541,0.99528005,0.98078473,0.99159885,0.99267137,0.97912987,0.98249574,0.99545507,0.99527574,0.98079248,0.98797015,0.97854246,0.99146622,0.9940808,0.97754484,0.99479676,0.98257806,0.98796748
